Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
1001,25,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown
1002,20,management,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown
1003,35,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown
1004,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown
1005,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown
1006,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown
1007,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown
1008,33,entrepreneur,divorced,tertiary,yes,45344,yes,no,unknown,5,may,380,1,-1,0,unknown
1009,58,retired,married,primary,no,45645,yes,no,unknown,5,may,50,1,-1,0,unknown
1010,43,technician,single,secondary,no,6734,yes,no,unknown,5,may,55,1,-1,0,unknown
1011,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown
1012,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown
1013,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown
1014,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown
1015,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown
1016,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown
1017,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown
1018,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown
1019,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown
1020,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown
1021,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown
1022,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown
1023,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown
1024,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown
1025,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown
1026,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown
1027,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown
1028,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown
1029,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown
1030,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown
1031,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown
1032,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown
1033,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown
1034,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown
1035,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown
1036,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown
1037,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown
1038,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown
1039,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown
1040,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown
1041,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown
1042,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown
1043,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown
1044,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown
1045,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown
